대구광역시,달성군,현풍초등학교운동장,5476,128.4472203397353,35.69765632230554,
인천광역시,서구,해원고등학교 운동장,2255,126.62736625164155,37.52772754831561,
인천광역시,서구,초은고등학교 운동장,3153,126.65694231854927,37.52871446193647,
인천광역시,서구,초은중학교 운동장,2493,126.6539119266354,37.52776624495297,
인천광역시,서구,청람중학교 운동장,2617,126.6437656422382,37.538208719756646,
인천광역시,서구,청라고등학교 운동장,3672,126.66070052108542,37.53667661718422,
인천광역시,서구,청라중학교 운동장,2337,126.65384734546781,37.53723821143654,
인천광역시,서구,청라초등학교 운동장,1936,126.65603992356101,37.53731381700972,
경기도,부천시,상일초등학교,14792,126.7505373360064,37.501463925848434,
경기도,부천시,상인초등학교,19195,126.75637708728364,37.512638066179036,
경기도,부천시,상원초등학교,14949,126.75331037052756,37.49800543974797,
경기도,부천시,상동초등학교,13867,126.75025558697037,37.49639270379467,
경기도,부천시,상미초등학교,8776,126.74454074310924,37.49460127729537,
경기도,부천시,상동호수공원,217957,126.74534082412679,37.50472141350451,
경기도,부천시,석천초등학교,18578,126.75266121953992,37.51034396791449,
경기도,부천시,부인초등학교,9588,126.74864200516105,37.48948855061508,
경기도,부천시,부천부흥초등학교,9767,126.76635310694967,37.50718457310768,
경기도,부천시,계남초등학교,10654,126.7720765752118,37.498808207462275,
경기도,부천시,부광초등학교,9450,126.7619543044505,37.50675563403776,
경기도,부천시,중흥초등학교,10764,126.77320824121634,37.50627884901944,
경기도,부천시,중동초등학교,11660,126.76936336745293,37.489778736070114,
경기도,부천시,시민운동장,8639,126.77065744346164,37.48898477058716,
경기도,부천시,중앙공원,148852,126.76536083221264,37.500006048894356,
경기도,부천시,부천서초등학교,9096,126.76616909839228,37.48714016645805,
경기도,부천시,부천중앙초등학교,3569,126.7823738973767,37.49623926277477,
경기도,부천시,동곡초등학교,8626,126.817155274968,37.49036881733191,
경기도,부천시,심원초등학교,9108,126.78181867599724,37.49938371791726,
경기도,부천시,소원어린이공원,2797,126.79696798324217,37.48491317834018,
